m1,m2,r1,r2,G,U
2.66,1.06,1.42,1.94,2.2199999999999998,-1.1815544649339336
4.74,3.8200000000000003,2.1799999999999997,1.1400000000000001,4.300000000000001,32.5823312409464
4.140000000000001,4.18,3.66,3.7,3.02,-0.15436923349579146
4.38,3.42,1.62,3.94,3.34,-18.185424027072756
3.9,2.06,1.38,4.300000000000001,4.859999999999999,-19.213363801820023
2.98,3.9,1.3,4.140000000000001,3.42,-20.974017391304347
1.78,3.18,4.9,3.74,4.98,1.7842954665502564
2.2199999999999998,1.8599999999999999,2.8600000000000003,3.22,3.54,-0.5714125526647267
1.58,4.300000000000001,3.06,2.1799999999999997,3.9,3.495384061881636
2.34,4.140000000000001,3.5,2.62,2.42,2.249805121046892
2.5,4.98,1.58,3.3,1.8599999999999999,-7.639056386651322
2.94,2.02,1.94,3.38,4.0600000000000005,-5.2950345147319
3.66,4.7,2.26,4.5,2.3,-8.714326843657819
1.06,4.02,3.94,1.3,4.220000000000001,9.268484373291685
4.34,4.66,1.02,4.34,1.42,-21.53833725490196
4.18,1.58,2.7,2.5,3.14,0.6144538074074083
2.42,1.78,4.9399999999999995,3.9,4.54,1.0556817273954118
3.46,4.5,2.74,2.34,4.78,4.6431218416619915
4.1,2.8200000000000003,1.46,1.74,4.9399999999999995,-6.295291450165328
4.7,2.2199999999999998,2.58,1.26,1.3,5.507796234772979
3.34,3.46,4.1,4.38,3.5,-0.63065330214946
4.66,2.34,2.94,3.2600000000000002,1.9,-0.6917360711155623
3.8200000000000003,3.38,4.62,2.46,2.8600000000000003,7.018151916376307
2.06,2.26,1.26,2.3,4.140000000000001,-6.916891428571428
1.26,2.58,4.66,1.38,2.74,4.543072364247063
4.02,1.94,2.66,2.58,4.38,0.3981901731071861
2.1799999999999997,1.5,3.54,1.46,3.86,5.0797492454144395
4.78,1.1400000000000001,1.8599999999999999,1.82,3.46,0.22278426090038728
1.18,4.38,2.7800000000000002,3.5,1.06,-0.4053980349434737
2.1,3.98,3.38,4.42,2.14,-1.2451179951270452
2.7800000000000002,3.1,3.34,3.46,3.74,-0.33468540375895633
1.82,3.2600000000000002,3.62,3.54,1.1,0.040743640166057936
4.5,1.38,3.2600000000000002,3.18,1.82,0.08721842805880287
3.14,3.14,1.5,1.02,4.26,13.177065411764707
1.22,1.9,3.1,1.5,4.34,3.4615466666666657
1.94,3.54,4.82,1.22,3.98,16.733380858445006
1.3399999999999999,3.58,1.1,2.1,1.22,-2.533586147186147
1.9,2.94,1.18,3.66,4.9,-15.717577104751323
3.98,1.3,3.86,2.54,1.5,1.0448900493655904
4.58,3.34,4.34,3.14,3.66,4.930090580879979
3.7,3.7800000000000002,2.14,1.1,3.38,20.885126253186066
4.82,3.62,2.2199999999999998,4.18,2.02,-7.444470158196476
3.38,1.6600000000000001,3.9,2.7,4.7,3.0052148148148135
1.1400000000000001,2.5,3.46,3.06,1.62,0.17443046582794963
3.62,4.54,2.9,1.7,3.7,14.80132089249493
4.46,4.46,2.3,2.7800000000000002,4.42,-6.60025313731624
4.9,4.62,4.220000000000001,2.8600000000000003,2.7800000000000002,7.0915843966460095
2.62,1.62,1.54,1.78,1.3399999999999999,-0.4979567488691082
1.6600000000000001,1.54,4.18,1.6600000000000001,2.38,2.2096421052631574
3.58,1.18,4.0600000000000005,4.0600000000000005,2.06,0.0
3.94,1.74,3.14,1.58,1.26,2.716150802225268
4.220000000000001,4.1,2.98,4.859999999999999,2.9,-6.5132780953959175
1.7,3.66,2.38,4.1,1.18,-1.2941351916376305
2.7,3.02,2.42,4.9399999999999995,1.6600000000000001,-2.853231572255496
3.06,4.9,2.5,4.74,4.5,-12.754389873417724
4.0600000000000005,2.46,3.42,2.42,2.98,3.5961345512541696
3.86,2.74,4.38,4.26,2.5,0.17004952086950895
4.54,2.1799999999999997,1.78,3.8200000000000003,1.78,-5.285415706806283
3.02,1.82,3.58,4.9,3.06,-1.2655945091779732
3.2600000000000002,4.9399999999999995,2.54,2.98,2.7,-2.5276154943719265
2.14,4.220000000000001,4.859999999999999,4.62,1.58,0.152516316605205
4.98,4.74,4.58,4.58,1.74,0.0
3.3,2.8600000000000003,3.22,3.98,4.58,-2.563421954492962
2.74,4.34,1.3399999999999999,3.58,2.54,-14.103737046610528
3.42,4.58,3.98,2.2199999999999998,1.38,4.3057349449952484
4.42,3.74,1.82,4.54,2.1,-11.427594713656386
4.26,2.98,4.98,4.220000000000001,1.02,0.4682716153714384
2.26,3.3,1.22,1.98,2.26,-5.302972677595626
4.300000000000001,1.02,1.9,2.9,3.22,-2.5631433756805806
3.22,1.42,2.62,3.02,4.02,-0.9292274404731803
4.859999999999999,3.22,4.78,4.98,4.62,-0.6074448757372601
4.9399999999999995,3.86,4.46,2.38,3.3,12.330472321664088
2.02,4.42,3.8200000000000003,4.82,4.1,-1.9881406008993943
3.74,3.5,4.02,2.06,2.34,7.249671062164903
1.5,2.66,3.7,1.06,2.66,7.144155022947475
2.46,2.54,2.34,2.14,2.94,0.7336966211358728
2.58,3.94,2.46,1.3399999999999999,1.46,5.042511539861668
3.18,4.82,3.3,4.46,3.1,-3.744941540970241
1.3,2.9,3.74,2.74,4.82,1.773234708614701
1.98,2.62,3.18,4.02,4.66,-1.588468149816952
