q,Ef,m,omega_0,omega,x
2.35,2.17,2.4299999999999997,3.69,1.7349999999999999,0.197867660214918
1.95,2.41,1.21,4.51,1.5150000000000001,0.2152347576539412
2.73,1.63,2.9699999999999998,3.27,1.635,0.1868258786400731
1.75,1.69,1.57,3.79,1.775,0.167990561514913
2.23,1.49,1.73,3.03,1.365,0.26246531010878305
1.8900000000000001,2.49,1.05,4.8100000000000005,1.845,0.22714286257274005
2.13,1.19,1.27,4.11,1.455,0.13508065249438955
1.65,2.13,2.63,3.07,1.855,0.22331880045492986
1.15,1.45,2.59,4.65,1.685,0.034276365214393846
1.4100000000000001,1.83,1.33,3.77,1.595,0.16626068819572795
1.11,2.69,1.37,4.73,1.055,0.1025165505956592
2.39,2.27,2.27,3.67,1.175,0.197712245957343
2.4299999999999997,2.31,1.15,4.47,1.915,0.2992048348874555
2.27,1.79,2.45,3.61,1.545,0.15579878919766815
1.49,1.27,2.51,4.27,1.995,0.052894898921804885
1.05,1.29,1.17,4.37,1.625,0.07034959659414465
2.87,2.15,2.09,4.1899999999999995,1.7650000000000001,0.2044469150586518
1.81,1.05,2.55,3.15,1.045,0.0844002296192514
1.51,1.13,1.51,3.49,1.335,0.10867605159708112
2.0700000000000003,2.39,2.1100000000000003,4.29,1.385,0.1422242946236073
2.85,2.5700000000000003,1.6099999999999999,3.4699999999999998,1.705,0.4980776375840024
2.81,1.37,2.49,4.75,1.505,0.076170275220347
1.29,2.37,1.8900000000000001,4.67,1.665,0.08497382277204647
2.4699999999999998,1.65,1.35,4.890000000000001,1.035,0.1321704570813897
2.49,2.25,1.63,4.63,1.565,0.18101829552155166
2.63,1.95,1.95,4.95,1.075,0.11264890911524561
1.73,2.73,1.47,4.390000000000001,1.495,0.18858032513545558
2.45,1.3900000000000001,2.15,3.23,1.305,0.1814405691229363
2.91,1.01,2.91,3.41,1.675,0.11448034706814131
2.9299999999999997,2.63,1.53,3.89,1.395,0.38195869109742037
2.5700000000000003,1.9300000000000002,1.19,3.65,1.355,0.36287470790683846
1.01,1.97,1.67,4.91,1.085,0.05195776985171752
1.31,1.75,2.99,3.73,1.975,0.07657824101183355
1.47,2.91,1.65,3.31,1.835,0.3416244772176975
1.71,2.0700000000000003,2.87,3.01,1.375,0.172027233198413
2.17,2.45,2.05,4.03,1.935,0.2075283732789995
1.87,1.21,2.25,4.23,1.7850000000000001,0.06838013653286308
2.67,1.23,1.11,4.09,1.225,0.19429673328300645
2.21,2.19,1.13,4.83,1.095,0.19354367546733742
1.83,2.33,1.09,3.29,1.525,0.46029844912002704
1.9300000000000002,2.75,2.5300000000000002,4.45,1.5350000000000001,0.12024492832748089
