g_,q,B,m,omega
4.62,3.9,4.54,3.1,13.193825806451613
2.02,2.3,2.54,3.38,1.7456863905325444
4.300000000000001,3.34,1.3399999999999999,2.5,3.849016
1.3,1.22,1.06,1.74,0.48309195402298855
3.2600000000000002,3.2600000000000002,3.62,4.220000000000001,4.558283412322274
3.66,2.62,2.7,2.8600000000000003,4.526370629370629
4.78,4.140000000000001,2.9,4.98,5.761915662650604
4.140000000000001,4.220000000000001,3.74,4.02,8.126964179104482
2.98,2.54,4.46,4.140000000000001,4.077129468599033
2.3,2.42,2.1799999999999997,3.7,1.6397135135135132
1.18,3.66,3.66,1.06,7.456041509433961
4.9399999999999995,4.0600000000000005,3.98,2.74,14.566509489051095
2.2199999999999998,2.94,4.82,2.8200000000000003,5.577868085106382
2.8200000000000003,3.7,1.46,3.94,1.9332030456852793
3.9,2.06,3.18,3.02,4.229821192052981
2.9,4.26,3.9,4.9399999999999995,4.876578947368421
2.54,1.1,2.2199999999999998,4.46,0.6953677130044843
2.94,4.54,3.54,2.66,8.881673684210526
1.06,2.7,2.74,3.74,1.0483796791443853
4.02,3.5,1.42,2.26,4.420221238938053
4.859999999999999,4.9399999999999995,1.54,2.02,9.151716831683165
3.7,4.46,3.3,2.42,11.251363636363635
2.42,1.3399999999999999,3.7800000000000002,3.66,1.6745606557377046
2.8600000000000003,4.300000000000001,2.5,1.58,9.729430379746837
1.94,3.38,2.94,1.1400000000000001,8.455336842105263
3.94,1.62,1.1400000000000001,2.98,1.2208711409395976
2.7,1.6600000000000001,4.58,3.42,3.0011052631578954
2.06,1.02,4.9,3.22,1.5987391304347827
1.3399999999999999,3.7800000000000002,4.140000000000001,3.54,2.961854237288136
4.54,1.74,1.82,1.02,7.047682352941177
2.1,4.38,3.22,2.1799999999999997,6.793018348623855
1.62,3.42,2.26,2.58,2.426609302325581
3.42,1.94,3.34,1.6600000000000001,6.674768674698794
4.7,3.86,3.94,1.46,24.479273972602737
1.42,4.5,4.66,3.3,4.511727272727273
3.22,3.02,4.1,2.62,7.608786259541985
1.38,4.1,4.220000000000001,2.38,5.016126050420168
3.86,3.74,3.1,4.62,4.843380952380953
4.220000000000001,4.82,3.5,4.7,7.5735531914893635
4.58,1.8599999999999999,1.8599999999999999,2.34,3.3856769230769226
4.26,1.46,3.38,4.66,2.255606008583691
1.58,2.1799999999999997,2.02,3.86,0.9012549222797928
1.78,1.06,1.38,4.9,0.2656922448979591
1.5,4.859999999999999,1.1,1.38,2.905434782608696
3.02,2.66,2.7800000000000002,1.3,8.589344615384617
1.46,4.7,3.86,3.58,3.6993463687150836
3.8200000000000003,2.8600000000000003,3.58,2.06,9.493256310679614
1.54,2.38,1.78,1.9,1.7168568421052632
3.5,1.7,4.7,4.54,3.0798458149779737
2.66,4.98,1.18,1.5,5.210408
2.26,4.74,4.38,1.78,13.179862921348313
4.42,1.82,4.62,2.46,7.553887804878048
1.82,2.58,3.42,4.18,1.920927272727273
3.06,4.66,1.94,3.98,3.4753296482412064
1.02,3.58,4.74,1.8599999999999999,4.652845161290323
2.7800000000000002,3.46,2.8600000000000003,1.3399999999999999,10.264838805970152
1.1400000000000001,4.34,4.78,3.9,3.0319907692307697
2.14,3.06,4.0600000000000005,4.74,2.8044835443037983
1.74,4.78,3.7,4.42,3.481180995475113
4.9,4.58,4.859999999999999,3.18,17.149075471698115
2.58,4.18,4.34,4.1,5.707840975609757
1.9,1.58,4.02,4.78,1.2623472803347278
3.14,2.2199999999999998,2.06,1.1,6.527203636363636
2.74,4.9,1.26,1.82,4.647461538461539
4.46,3.14,2.1,2.94,5.001571428571428
4.1,1.98,4.42,2.54,7.063299212598424
3.7800000000000002,4.62,2.46,4.0600000000000005,5.290696551724138
1.1,1.3,4.26,4.58,0.6650436681222708
3.38,2.98,3.06,2.3,6.700335652173913
2.5,3.22,2.14,3.5,2.4610000000000007
1.22,2.1,4.18,4.5,1.1899066666666664
3.1,1.9,4.300000000000001,1.26,10.050396825396826
2.1799999999999997,3.54,1.58,1.7,3.5862282352941177
4.5,2.9,2.42,4.82,3.2760373443983397
3.3,3.1,2.3,3.34,3.522305389221557
1.26,3.62,2.38,1.98,2.741327272727273
1.8599999999999999,1.18,1.3,2.1,0.6793428571428571
4.98,2.7800000000000002,3.02,3.46,6.041920231213874
4.0600000000000005,3.3,1.62,3.06,3.5465294117647064
3.54,1.38,4.98,1.42,8.566301408450704
3.18,2.34,1.6600000000000001,1.62,3.812466666666667
2.46,2.14,1.7,2.9,1.5430137931034482
2.34,2.46,2.98,3.2600000000000002,2.6309926380368096
3.74,3.98,1.98,4.300000000000001,3.4270576744186045
1.6600000000000001,4.42,4.9399999999999995,3.14,5.771619108280254
3.34,1.54,3.46,2.7,3.2957140740740742
1.7,3.94,1.74,1.54,3.783935064935065
4.38,2.8200000000000003,2.34,2.7800000000000002,5.198335251798561
2.62,2.02,1.5,1.18,3.3638135593220344
1.98,3.18,1.02,2.2199999999999998,1.4464702702702705
3.62,3.8200000000000003,1.9,1.94,6.771639175257733
4.34,1.42,3.2600000000000002,1.22,8.233904918032788
3.46,2.26,2.58,3.7800000000000002,2.6685936507936505
4.82,1.5,2.66,3.62,2.656325966850829
3.98,2.74,2.8200000000000003,2.14,7.185201869158879
2.38,2.5,4.5,4.38,3.056506849315068
4.74,1.26,3.8200000000000003,4.859999999999999,2.3471777777777785
4.66,1.78,1.22,4.34,1.1658589861751154
3.58,4.02,3.14,3.8200000000000003,5.9148722513089
4.18,1.1400000000000001,2.62,4.26,1.465354929577465
