q,a,epsilon,c,Pwr
1.7657451302283809,1.7453902775712136,4.382546065841442,4.3724013225047305,0.0013754774521132385
2.830024638786277,1.5854880860207374,1.8993565435582456,4.874381456091157,0.004855570228512554
4.103701840533192,4.933647885423651,2.658354187529735,4.3160015294937635,0.10174876875932827
1.0522725237101542,2.8410695987883234,1.565267865476124,3.2990453538624576,0.008436563043552055
4.462463322857565,3.217410429726208,1.1812783906316384,2.3412314083818355,0.7213995090309938
2.2500827883573717,4.352762947153277,2.424187752625643,1.996631176297734,0.26373399110623114
3.8250248876677846,2.1890839887938403,3.618700816863485,1.1043508306134142,0.7631649065503004
1.5476157996306004,3.766403069010849,2.567436472206942,2.3575341495436937,0.053580294115402716
3.8288713276147215,4.1425476235533685,1.6560656955691109,2.1788457324296044,0.779145258976213
3.662666370179326,4.333874890805655,4.7492486361824255,4.045226126704507,0.042519977056381816
1.8525552603741915,1.387209281444212,4.582546628527751,2.354148052639526,0.005860261320243431
2.1145781080025916,2.6111540893468312,4.2609969316291085,2.386929855270436,0.027911369840240317
1.6071222300880756,3.7466317756816663,2.027880147087746,1.121461741799573,0.6724856899005189
3.2392997934740597,2.8218111991885526,3.3985357149362225,2.3685967558442833,0.09815034726402508
4.040562502801377,2.9061929410864917,4.941809428255857,2.180666966192552,0.14275041998080473
4.5163515520151005,2.5233076236145986,2.3599603614686995,1.771856143606545,0.5248372747513645
4.602701011759296,2.05408027613865,2.811148472424453,2.0119218352893182,0.20712958476938384
2.8945579737831206,1.2833236934793637,2.2084433408445445,1.3892606653036812,0.12362272895355375
1.3770054786359145,4.646480412653316,4.469804279807825,4.703787713914903,0.0046686013084977366
4.472333689164876,3.919671236151769,3.8192388852235615,2.475817216976373,0.28127685690296483
2.0321492368370646,2.564006328216233,2.57026955926444,4.859500730462712,0.004883088904212584
3.993914143000436,4.66290311385571,2.1765851107388188,2.295053005201813,0.6992867430993057
2.9431336907700865,3.8179486118317527,3.713915691743226,3.5183049912342597,0.04141393720169128
2.6497042877656183,2.7661644443530333,4.092154104264623,2.887441936648652,0.028930632179679037
1.3168326604878438,3.045611097069563,3.3531217953659507,2.257489421411871,0.02211986377902756
4.921959029150639,2.142592622679157,3.667709843481171,3.8534628969570313,0.028112894308488897
3.943102205639151,4.74781479246445,2.2744052827807995,2.4099155167172657,0.5841026469869943
4.967795678034613,3.9698080170943566,2.382197334905544,3.4091344184496535,0.2186025511879613
